goterms	pval
GO:0006412	5.6328452208553714e-36
GO:0043043	6.073569996071441e-35
GO:0043604	1.1126116188160243e-32
GO:0006518	1.1244851499330106e-30
GO:1901566	7.839340907669625e-28
GO:0043603	9.177429745309352e-27
GO:0006119	5.163426252338361e-22
GO:0046034	1.4099945694869455e-19
GO:0034645	1.6340672777573255e-19
GO:0009060	4.13787559453811e-18
GO:0042773	6.393062281243648e-17
GO:0042775	6.393062281243648e-17
GO:0019646	8.005423861912134e-16
GO:0045333	1.1298747042809672e-15
GO:0022904	1.1121041559959214e-14
GO:1902600	1.8769005394033972e-14
GO:0006091	6.080583537950209e-14
GO:0022900	1.1194386732869373e-13
GO:0015980	2.313618757134997e-13
GO:0042254	1.779623324810336e-09
GO:0006120	2.0738339069685856e-08
GO:0044271	8.04870039175838e-08
GO:0044237	8.156310164704955e-08
GO:0009206	3.239273548529893e-07
GO:0009145	3.8910968781638375e-07
GO:0009201	9.284200348763895e-07
GO:0006754	1.173239945429628e-06
GO:0022613	1.2207004842511072e-06
GO:0044267	1.3751070013819323e-06
GO:0042273	1.5113095543059246e-06
GO:0042274	1.7686567839620102e-06
GO:0009205	2.794247802207519e-06
GO:0042776	3.699067234263373e-06
GO:0009142	4.982595574477945e-06
GO:0009144	5.7277527928127225e-06
GO:0009199	7.5254049429710635e-06
GO:0006364	7.858986623382438e-06
GO:1901564	1.2983256900493645e-05
GO:0015985	5.269914242610242e-05
GO:0015986	5.269914242610242e-05
GO:0010257	6.79402926672828e-05
GO:0032981	6.79402926672828e-05
GO:0009141	8.076751693363813e-05
GO:0016072	8.108623710286221e-05
GO:0042255	0.00010882562996955683
GO:0019538	0.00011389637080341675
GO:0008152	0.00012093937769843804
GO:2001242	0.00012119790054758291
GO:0034641	0.000132293026392349
GO:0044260	0.00021725020480779455
GO:0009058	0.00027501783075611604
GO:1901576	0.0003085785323491448
GO:0044249	0.0003987885750637256
GO:0009152	0.0009905122258891924
GO:2001233	0.001103211666443842
GO:0009260	0.00233932100618398
GO:0009059	0.0025027363195738225
GO:0000027	0.003329111460846095
GO:0006164	0.0036028525431537023
GO:0046390	0.0036028525431537023
GO:0033108	0.0053569581483429605
GO:0006123	0.005573990159517155
GO:0072522	0.006102844789762904
GO:0006839	0.0085332633579846
GO:0042743	0.01170559088733704
GO:0010467	0.015901910952253528
GO:2001244	0.01962823918990068
GO:0006413	0.03024067592030281
GO:0098662	0.0319995614954429
GO:0034470	0.049215961066883036
